player_id,player_name,team,role,batting_avg,strike_rate,bowling_avg,economy
P001,Rohit Sharma,MI,Batsman,43.2,139.4,0,0
P002,Jasprit Bumrah,MI,Bowler,8.1,101.0,19.3,6.8
P003,Virat Kohli,RCB,Batsman,51.8,142.1,0,0
P004,Faf du Plessis,RCB,Batsman,39.5,145.2,0,0
P005,MS Dhoni,CSK,Wicketkeeper,39.2,136.0,0,0
P006,Ravindra Jadeja,CSK,AllRounder,29.4,128.2,24.0,7.2
P007,Andre Russell,KKR,AllRounder,31.0,171.0,26.0,8.7
P008,Sanju Samson,RR,Wicketkeeper,37.1,147.3,0,0
P009,KL Rahul,PBKS,Batsman,42.0,135.1,0,0
P010,Pat Cummins,SRH,Bowler,15.2,121.0,23.0,7.9
